edge_id,network_id,context_id,spec_id,from,to,edge_a,edge_b,weight,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot,edge_instance_id,from_node_instance_id,to_node_instance_id
net_g05_w55_high__USE2_MASK__WORRY_HEALTH_SYSTEM,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK,WORRY_HEALTH_SYSTEM,0.0780150510238488,0.0780150510238488,behavior,affect,non_focal,non_focal,0.0780150510238488,0.0664405622049806,0.0524705029523102,0.0,0.1765785649562087,0.803,1000.0,net_g05_w55_high__USE2_MASK__WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_MASK,net_g05_w55_high__WORRY_HEALTH_SYSTEM
net_g05_w55_high__AFF_FEAR__USE2_AVOID,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_FEAR,USE2_AVOID,AFF_FEAR,USE2_AVOID,0.0711266175466007,0.0711266175466007,affect,behavior,non_focal,non_focal,0.0711266175466006,0.0695266466798114,0.0467933162131525,0.0,0.1627933580269244,0.89,1000.0,net_g05_w55_high__AFF_FEAR__USE2_AVOID,net_g05_w55_high__AFF_FEAR,net_g05_w55_high__USE2_AVOID
net_g05_w55_high__AFF_WORRY__WORRY_HEALTH_SYSTEM,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.0694854700414606,0.0694854700414606,affect,affect,non_focal,non_focal,0.0694854700414606,0.0693088850142084,0.0543566184249366,0.0,0.1896157042801939,0.833,1000.0,net_g05_w55_high__AFF_WORRY__WORRY_HEALTH_SYSTEM,net_g05_w55_high__AFF_WORRY,net_g05_w55_high__WORRY_HEALTH_SYSTEM
net_g05_w55_high__AFF_WORRY__SEVERITY,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_WORRY,SEVERITY,AFF_WORRY,SEVERITY,0.0663729854547521,0.0663729854547521,affect,belief,non_focal,focal_belief,0.066372985454752,0.0667566855419377,0.0484712300565616,0.0,0.1685416542418012,0.871,1000.0,net_g05_w55_high__AFF_WORRY__SEVERITY,net_g05_w55_high__AFF_WORRY,net_g05_w55_high__SEVERITY
net_g05_w55_high__USE2_AVOID__USE2_MASK,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_AVOID,USE2_MASK,USE2_AVOID,USE2_MASK,0.0517400953753027,0.0517400953753027,behavior,behavior,non_focal,non_focal,0.0517400953753027,0.0502629400875349,0.0443469855409112,0.0,0.1534064095412141,0.743,1000.0,net_g05_w55_high__USE2_AVOID__USE2_MASK,net_g05_w55_high__USE2_AVOID,net_g05_w55_high__USE2_MASK
net_g05_w55_high__SEVERITY__USE2_HANDWASH20,net_g05_w55_high,ctx_w55_high,gamma_05,SEVERITY,USE2_HANDWASH20,SEVERITY,USE2_HANDWASH20,0.0388961673061934,0.0388961673061934,belief,behavior,focal_belief,non_focal,0.0388961673061933,0.03623241344713,0.0380142264374705,0.0,0.1240738077191274,0.663,1000.0,net_g05_w55_high__SEVERITY__USE2_HANDWASH20,net_g05_w55_high__SEVERITY,net_g05_w55_high__USE2_HANDWASH20
net_g05_w55_high__AFF_WORRY__USE2_AVOID,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_WORRY,USE2_AVOID,AFF_WORRY,USE2_AVOID,0.0348509279979277,0.0348509279979277,affect,behavior,non_focal,non_focal,0.0348509279979276,0.0401723377758067,0.0415543102155052,0.0,0.1324778724380947,0.698,1000.0,net_g05_w55_high__AFF_WORRY__USE2_AVOID,net_g05_w55_high__AFF_WORRY,net_g05_w55_high__USE2_AVOID
net_g05_w55_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.0347831789809294,0.0347831789809294,behavior,affect,non_focal,non_focal,0.0347831789809294,0.0362712827224641,0.0403384492886548,0.0,0.1308450907271788,0.667,1000.0,net_g05_w55_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_AVOID,net_g05_w55_high__WORRY_HEALTH_SYSTEM
net_g05_w55_high__AFF_WORRY__USE2_HANDWASH20,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,0.0316214187016324,0.0316214187016324,affect,behavior,non_focal,non_focal,0.0316214187016323,0.0291194205705411,0.0357661131696106,0.0,0.1186887772816991,0.586,1000.0,net_g05_w55_high__AFF_WORRY__USE2_HANDWASH20,net_g05_w55_high__AFF_WORRY,net_g05_w55_high__USE2_HANDWASH20
net_g05_w55_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.0295123252644214,0.0295123252644214,behavior,affect,non_focal,non_focal,0.0295123252644214,0.0332943312686926,0.0414354194124636,0.0,0.1288818028164588,0.601,1000.0,net_g05_w55_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_HANDWASH20,net_g05_w55_high__WORRY_HEALTH_SYSTEM
net_g05_w55_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0.0246688000024659,0.0246688000024659,behavior,affect,non_focal,non_focal,0.0246688000024658,0.0355843620222574,0.0413022523352296,0.0,0.1324720601462024,0.626,1000.0,net_g05_w55_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_SPACE150,net_g05_w55_high__WORRY_HEALTH_SYSTEM
net_g05_w55_high__AFF_FEAR__USE2_MASK,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_FEAR,USE2_MASK,AFF_FEAR,USE2_MASK,0.0190155425870327,0.0190155425870327,affect,behavior,non_focal,non_focal,0.0190155425870326,0.0302146919619867,0.0389064946590504,0.0,0.1295400258739842,0.523,1000.0,net_g05_w55_high__AFF_FEAR__USE2_MASK,net_g05_w55_high__AFF_FEAR,net_g05_w55_high__USE2_MASK
net_g05_w55_high__AFF_FEAR__USE2_HANDWASH20,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,0.0126530355102393,0.0126530355102393,affect,behavior,non_focal,non_focal,0.0126530355102393,0.0201467520421575,0.0292168182336717,0.0,0.09447528805938,0.495,1000.0,net_g05_w55_high__AFF_FEAR__USE2_HANDWASH20,net_g05_w55_high__AFF_FEAR,net_g05_w55_high__USE2_HANDWASH20
net_g05_w55_low__AFF_FEAR__AFF_WORRY,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.552748012727947,0.552748012727947,affect,affect,non_focal,non_focal,0.5527480127279474,0.548203066747293,0.0436928552270659,0.4635915574561103,0.6312730138907409,1.0,1000.0,net_g05_w55_low__AFF_FEAR__AFF_WORRY,net_g05_w55_low__AFF_FEAR,net_g05_w55_low__AFF_WORRY
net_g05_w55_low__USE2_MASK__USE2_SPACE150,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_MASK,USE2_SPACE150,USE2_MASK,USE2_SPACE150,0.327032216961362,0.327032216961362,behavior,behavior,non_focal,non_focal,0.327032216961362,0.3238928544174935,0.0503709944473231,0.2239480574600827,0.4233346628342871,1.0,1000.0,net_g05_w55_low__USE2_MASK__USE2_SPACE150,net_g05_w55_low__USE2_MASK,net_g05_w55_low__USE2_SPACE150
net_g05_w55_low__USE2_AVOID__USE2_SPACE150,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_AVOID,USE2_SPACE150,USE2_AVOID,USE2_SPACE150,0.277096243350879,0.277096243350879,behavior,behavior,non_focal,non_focal,0.277096243350879,0.2727475502705894,0.0493123672552977,0.1738250976472927,0.3666850425945424,1.0,1000.0,net_g05_w55_low__USE2_AVOID__USE2_SPACE150,net_g05_w55_low__USE2_AVOID,net_g05_w55_low__USE2_SPACE150
net_g05_w55_low__AFF_FEAR__SEVERITY,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_FEAR,SEVERITY,AFF_FEAR,SEVERITY,0.267758140236528,0.267758140236528,affect,belief,non_focal,focal_belief,0.267758140236528,0.264378564105946,0.0508090336720221,0.1616285440357524,0.3644954552322113,1.0,1000.0,net_g05_w55_low__AFF_FEAR__SEVERITY,net_g05_w55_low__AFF_FEAR,net_g05_w55_low__SEVERITY
