wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind
55,high,g05_spearman,False,309,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20 -- USE2_SPACE150,0.205124520711381,0.205124520711381,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_spearman,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.189745452292701,0.189745452292701,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g05_spearman,False,309,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20 -- USE2_MASK,0.183228830996347,0.183228830996347,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_spearman,False,309,USE2_MASK,USE2_SPACE150,USE2_MASK -- USE2_SPACE150,0.132817972731233,0.132817972731233,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_spearman,False,309,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR -- WORRY_HEALTH_SYSTEM,0.129884552643435,0.129884552643435,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05_spearman,False,309,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY -- WORRY_HEALTH_SYSTEM,0.129080056316981,0.129080056316981,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05_spearman,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.118697357515695,0.118697357515695,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_spearman,False,309,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID -- USE2_HANDWASH20,0.11779884982827,0.11779884982827,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_spearman,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.105482277829134,0.105482277829134,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_spearman,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.084231737860777,0.084231737860777,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g05_spearman,False,309,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150 -- WORRY_HEALTH_SYSTEM,0.0669984904545466,0.0669984904545466,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,AFF_WORRY,USE2_AVOID,AFF_WORRY -- USE2_AVOID,0.0637624711943333,0.0637624711943333,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0555591737372573,0.0555591737372573,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges
55,high,g05_spearman,False,309,USE2_AVOID,USE2_MASK,USE2_AVOID -- USE2_MASK,0.0542556819514068,0.0542556819514068,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_spearman,False,309,AFF_FEAR,USE2_AVOID,AFF_FEAR -- USE2_AVOID,0.0535904028268263,0.0535904028268263,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY -- USE2_HANDWASH20,0.040280339294695,0.040280339294695,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0374502017319742,0.0374502017319742,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_spearman,False,309,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID -- WORRY_HEALTH_SYSTEM,0.0351019968703639,0.0351019968703639,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,AFF_FEAR,USE2_MASK,AFF_FEAR -- USE2_MASK,0.0292260816499025,0.0292260816499025,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20 -- WORRY_HEALTH_SYSTEM,0.0276556639643481,0.0276556639643481,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK -- WORRY_HEALTH_SYSTEM,0.0274058972324329,0.0274058972324329,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_spearman,False,309,AFF_WORRY,USE2_MASK,AFF_WORRY -- USE2_MASK,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,AFF_FEAR,USE2_SPACE150,AFF_FEAR -- USE2_SPACE150,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,AFF_WORRY,USE2_SPACE150,AFF_WORRY -- USE2_SPACE150,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_spearman,False,309,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR -- USE2_HANDWASH20,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,AFF_FEAR,AFF_WORRY,AFF_FEAR -- AFF_WORRY,0.596641701974303,0.596641701974303,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05_thr,True,309,USE2_AVOID,USE2_SPACE150,USE2_AVOID -- USE2_SPACE150,0.249716943562804,0.249716943562804,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_thr,True,309,USE2_MASK,USE2_SPACE150,USE2_MASK -- USE2_SPACE150,0.23540831796455,0.23540831796455,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_thr,True,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.214952597150264,0.214952597150264,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g05_thr,True,309,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20 -- USE2_SPACE150,0.208992309764026,0.208992309764026,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_thr,True,309,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20 -- USE2_MASK,0.195753056637722,0.195753056637722,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_thr,True,309,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR -- WORRY_HEALTH_SYSTEM,0.179415582009043,0.179415582009043,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05_thr,True,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.168294033740989,0.168294033740989,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_thr,True,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.142459760904957,0.142459760904957,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_thr,True,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0,0.0,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g05_thr,True,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0,0.0,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges
55,high,g05_thr,True,309,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY -- WORRY_HEALTH_SYSTEM,0.0,0.0,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05_thr,True,309,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK -- WORRY_HEALTH_SYSTEM,0.0,0.0,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150 -- WORRY_HEALTH_SYSTEM,0.0,0.0,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20 -- WORRY_HEALTH_SYSTEM,0.0,0.0,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID -- WORRY_HEALTH_SYSTEM,0.0,0.0,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_thr,True,309,AFF_FEAR,USE2_MASK,AFF_FEAR -- USE2_MASK,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,AFF_WORRY,USE2_MASK,AFF_WORRY -- USE2_MASK,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,USE2_AVOID,USE2_MASK,USE2_AVOID -- USE2_MASK,0.0,0.0,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_thr,True,309,AFF_FEAR,USE2_SPACE150,AFF_FEAR -- USE2_SPACE150,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,AFF_WORRY,USE2_SPACE150,AFF_WORRY -- USE2_SPACE150,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05_thr,True,309,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR -- USE2_HANDWASH20,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY -- USE2_HANDWASH20,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID -- USE2_HANDWASH20,0.0,0.0,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05_thr,True,309,AFF_FEAR,USE2_AVOID,AFF_FEAR -- USE2_AVOID,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05_thr,True,309,AFF_WORRY,USE2_AVOID,AFF_WORRY -- USE2_AVOID,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,AFF_FEAR,AFF_WORRY,AFF_FEAR -- AFF_WORRY,0.55152938087604,0.55152938087604,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g075,False,309,USE2_AVOID,USE2_SPACE150,USE2_AVOID -- USE2_SPACE150,0.230360836463161,0.230360836463161,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g075,False,309,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20 -- USE2_SPACE150,0.196181996725913,0.196181996725913,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g075,False,309,USE2_MASK,USE2_SPACE150,USE2_MASK -- USE2_SPACE150,0.190268030957765,0.190268030957765,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g075,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.188912575969323,0.188912575969323,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g075,False,309,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR -- WORRY_HEALTH_SYSTEM,0.172553538921899,0.172553538921899,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g075,False,309,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20 -- USE2_MASK,0.165560132496843,0.165560132496843,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g075,False,309,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID -- USE2_HANDWASH20,0.1387518334386,0.1387518334386,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g075,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.128780970717432,0.128780970717432,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g075,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.103125870818401,0.103125870818401,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g075,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0882074760456659,0.0882074760456659,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges
55,high,g075,False,309,AFF_FEAR,USE2_AVOID,AFF_FEAR -- USE2_AVOID,0.0711979993106094,0.0711979993106094,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY -- WORRY_HEALTH_SYSTEM,0.0673564909416888,0.0673564909416888,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g075,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0667569020065814,0.0667569020065814,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g075,False,309,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK -- WORRY_HEALTH_SYSTEM,0.0538665379096148,0.0538665379096148,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,USE2_AVOID,USE2_MASK,USE2_AVOID -- USE2_MASK,0.0330856882957062,0.0330856882957062,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g075,False,309,AFF_WORRY,USE2_AVOID,AFF_WORRY -- USE2_AVOID,0.0318623483120553,0.0318623483120553,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID -- WORRY_HEALTH_SYSTEM,0.0309960985137277,0.0309960985137277,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY -- USE2_HANDWASH20,0.0245705359669269,0.0245705359669269,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20 -- WORRY_HEALTH_SYSTEM,0.0245518243575374,0.0245518243575374,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150 -- WORRY_HEALTH_SYSTEM,0.0237027217455138,0.0237027217455138,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0188382309255863,0.0188382309255863,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g075,False,309,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR -- USE2_HANDWASH20,0.0162001660027963,0.0162001660027963,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g075,False,309,AFF_FEAR,USE2_MASK,AFF_FEAR -- USE2_MASK,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,AFF_WORRY,USE2_MASK,AFF_WORRY -- USE2_MASK,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,AFF_FEAR,USE2_SPACE150,AFF_FEAR -- USE2_SPACE150,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g075,False,309,AFF_WORRY,USE2_SPACE150,AFF_WORRY -- USE2_SPACE150,0.0,0.0,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,AFF_FEAR,AFF_WORRY,AFF_FEAR -- AFF_WORRY,0.552748012727947,0.552748012727947,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,low,g05,False,376,USE2_MASK,USE2_SPACE150,USE2_MASK -- USE2_SPACE150,0.327032216961362,0.327032216961362,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,low,g05,False,376,USE2_AVOID,USE2_SPACE150,USE2_AVOID -- USE2_SPACE150,0.277096243350879,0.277096243350879,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,low,g05,False,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.267758140236528,0.267758140236528,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,low,g05,False,376,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20 -- USE2_SPACE150,0.230419916269903,0.230419916269903,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,low,g05,False,376,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.186739468978733,0.186739468978733,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges
55,low,g05,False,376,USE2_AVOID,USE2_MASK,USE2_AVOID -- USE2_MASK,0.158321021438952,0.158321021438952,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,low,g05,False,376,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20 -- USE2_MASK,0.147115905845485,0.147115905845485,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,low,g05,False,376,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20 -- WORRY_HEALTH_SYSTEM,0.142127997118949,0.142127997118949,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
