trust_stratum,spec,GS_wave55,GS_wave56,GS_wave57,P_aff_wave55,P_aff_wave56,P_aff_wave57,P_beh_wave55,P_beh_wave56,P_beh_wave57,S_SEVERITY_wave55,S_SEVERITY_wave56,S_SEVERITY_wave57,S_aff_wave55,S_aff_wave56,S_aff_wave57,S_beh_wave55,S_beh_wave56,S_beh_wave57,focal_share_of_global_wave55,focal_share_of_global_wave56,focal_share_of_global_wave57,max_abs_edge_wave55,max_abs_edge_wave56,max_abs_edge_wave57,mean_abs_edge_wave55,mean_abs_edge_wave56,mean_abs_edge_wave57,median_abs_edge_wave55,median_abs_edge_wave56,median_abs_edge_wave57,n_edges_nonzero_wave55,n_edges_nonzero_wave56,n_edges_nonzero_wave57,n_focal_neighbors_nonzero_wave55,n_focal_neighbors_nonzero_wave56,n_focal_neighbors_nonzero_wave57,top_abs_weight_wave55,top_abs_weight_wave56,top_abs_weight_wave57,S_SEVERITY_wave56_minus_wave55,S_aff_wave56_minus_wave55,S_beh_wave56_minus_wave55,P_aff_wave56_minus_wave55,P_beh_wave56_minus_wave55,GS_wave56_minus_wave55,focal_share_of_global_wave56_minus_wave55,n_focal_neighbors_nonzero_wave56_minus_wave55,n_edges_nonzero_wave56_minus_wave55,mean_abs_edge_wave56_minus_wave55,median_abs_edge_wave56_minus_wave55,max_abs_edge_wave56_minus_wave55,top_abs_weight_wave56_minus_wave55,S_SEVERITY_wave57_minus_wave56,S_aff_wave57_minus_wave56,S_beh_wave57_minus_wave56,P_aff_wave57_minus_wave56,P_beh_wave57_minus_wave56,GS_wave57_minus_wave56,focal_share_of_global_wave57_minus_wave56,n_focal_neighbors_nonzero_wave57_minus_wave56,n_edges_nonzero_wave57_minus_wave56,mean_abs_edge_wave57_minus_wave56,median_abs_edge_wave57_minus_wave56,max_abs_edge_wave57_minus_wave56,top_abs_weight_wave57_minus_wave56
high,g05,2.9484620309879093,2.655841500053316,2.3034422464639666,0.485081617439149,0.41143734002043747,0.8877535119390769,0.514918382560851,0.5885626599795626,0.11224648806092308,0.7528889558320175,0.5026123192603923,0.36362852937899964,0.3652125924470671,0.2067934756979987,0.32281250399744876,0.3876763633849505,0.29581884356239363,0.0408160253815509,0.25534972060662936,0.18924785957682427,0.15786309812508165,0.577395396783446,0.531144423692983,0.474336665165375,0.10530221539242533,0.09485148214476129,0.08226579451657023,0.07030604379403066,0.06701971480179085,0.0517917029993084,25,21,17,7,5,3,0.196327612507214,0.184472929324428,0.228946825539151,-0.25027663657162524,-0.15841911674906842,-0.09185751982255685,-0.07364427741871155,0.0736442774187116,-0.29262053093459306,-0.06610186102980509,-2,-4,-0.010450733247664046,-0.0032863289922398092,-0.046250973090463,-0.011854683182786013,-0.13898378988139265,0.11601902829945007,-0.25500281818084275,0.47631617191863945,-0.4763161719186395,-0.35239925358934965,-0.03138476145174263,-2,-4,-0.012585687628191053,-0.015228011802482448,-0.056807758527608,0.044473896214723
high,g05_spearman,2.686748896071663,2.8103533251215014,1.9992224590724434,0.5574343786085809,0.4516266526797778,1.0,0.4425656213914191,0.5483733473202225,0.0,0.5911662009675385,0.5313968683885465,0.3146524110365,0.32953636389073526,0.2399929889148357,0.3146524110365,0.2616298370768032,0.29140387947371094,0.0,0.22003031315352609,0.1890854305180906,0.1573873930880537,0.539986801400581,0.548621569682315,0.483318566836444,0.0959553177168451,0.10036976161148219,0.07140080210973013,0.0596608224657953,0.06906838922397521,0.04369198366709615,23,22,16,6,6,2,0.189745452292701,0.149666946070499,0.191057018010504,-0.059769332578991974,-0.08954337497589956,0.02977404239690773,-0.10580772592880311,0.10580772592880339,0.1236044290498386,-0.03094488263543549,0,-1,0.004414443894637091,0.009407566758179907,0.00863476828173404,-0.04007850622220202,-0.2167444573520465,0.07465942212166429,-0.29140387947371094,0.5483733473202221,-0.5483733473202225,-0.8111308660490579,-0.03169803743003691,-4,-6,-0.02896895950175206,-0.025376405556879054,-0.06530300284587104,0.04139007194000502
high,g05_thr,2.191634303708658,2.154362415652146,1.655713876759012,0.4088833624712525,0.5806165415690945,1.0,0.5911166375287475,0.41938345843090563,0.0,0.5257063917962099,0.351986479771651,0.244663534192224,0.214952597150264,0.204369172564096,0.244663534192224,0.310753794645946,0.147617307207555,0.0,0.23986957628223637,0.16338313238958976,0.14776921159297296,0.596641701974303,0.562066156177224,0.503035074330785,0.07827265370388063,0.07694151484471949,0.059132638455679,0.0,0.0,0.0,9,9,6,3,2,1,0.214952597150264,0.204369172564096,0.244663534192224,-0.17371991202455894,-0.010583424586167983,-0.163136487438391,0.17173317909784197,-0.17173317909784191,-0.03727188805651194,-0.07648644389264661,-1,0,-0.0013311388591611406,0.0,-0.034575545797079,-0.010583424586167983,-0.10732294557942698,0.040294361628127995,-0.147617307207555,0.4193834584309055,-0.41938345843090563,-0.4986485388931339,-0.015613920796616804,-1,-3,-0.01780887638904049,0.0,-0.059031081846439015,0.040294361628127995
high,g075,2.617218187719387,2.655841500053316,2.3034422464639666,0.578311832905853,0.41143734002043747,0.8877535119390769,0.4216881670941472,0.5885626599795626,0.11224648806092308,0.5946220264829896,0.5026123192603923,0.36362852937899964,0.3438769540215703,0.2067934756979987,0.32281250399744876,0.2507450724614193,0.29581884356239363,0.0408160253815509,0.22719619987095388,0.18924785957682427,0.15786309812508165,0.55152938087604,0.531144423692983,0.474336665165375,0.09347207813283524,0.09485148214476129,0.08226579451657023,0.0603117199580981,0.06701971480179085,0.0517917029993084,23,21,17,6,5,3,0.188912575969323,0.184472929324428,0.228946825539151,-0.09200970722259727,-0.13708347832357162,0.045073771100974325,-0.1668744928854155,0.1668744928854154,0.03862331233392924,-0.03794834029412961,-1,-2,0.0013794040119260442,0.0067079948436927495,-0.020384957183056995,-0.004439646644895018,-0.13898378988139265,0.11601902829945007,-0.25500281818084275,0.47631617191863945,-0.4763161719186395,-0.35239925358934965,-0.03138476145174263,-2,-4,-0.012585687628191053,-0.015228011802482448,-0.056807758527608,0.044473896214723
low,g05,3.1774995757055415,3.048761162690582,3.2650304187327452,0.9138098023192507,0.757097310319898,0.7349482058225698,0.08619019768074918,0.24290268968010204,0.2650517941774302,0.5874761104088835,0.7169607858782181,0.5542090885757758,0.5368414283200241,0.5428090825932392,0.4073149752993281,0.050634682088859295,0.1741517032849789,0.1468941132764477,0.1848862907490518,0.23516462839138516,0.16974086532121213,0.552748012727947,0.522142337680245,0.669542306680917,0.11348212770376934,0.10888432723894936,0.11660822924045519,0.0891047672671971,0.0558845399148213,0.06747186887430015,23,21,22,7,5,5,0.267758140236528,0.25053034016802,0.181542860019941,0.12948467546933462,0.005967654273215106,0.1235170211961196,-0.15671249199935267,0.15671249199935286,-0.12873841301495936,0.05027833764233336,-2,-2,-0.004597800464819973,-0.0332202273523758,-0.030605675047702063,-0.017227800068507992,-0.16275169730244232,-0.13549410729391115,-0.0272575900085312,-0.02214910449732821,0.022149104497328154,0.21626925604216307,-0.06542376307017303,0,1,0.007723902001505828,0.011587328959478851,0.14739996900067198,-0.06898748014807901
low,g05_spearman,3.3334449940156343,3.040318121301163,3.1313082378767043,0.898349463414916,0.7685317539277833,0.7758068737742173,0.10165053658508416,0.2314682460722167,0.22419312622578277,0.5714910308241291,0.6832648679377467,0.5063652757612013,0.5133986608872936,0.5251107473534317,0.392841661576117,0.0580923699368356,0.158154120584315,0.1135236141850843,0.17144156626255966,0.2247346628468373,0.16171045368071474,0.557738775494885,0.531702417744227,0.633520007793898,0.11905160692912979,0.1085827900464701,0.11183243706702516,0.08316584628298515,0.051063172788505154,0.0762826591593101,23,20,20,6,4,5,0.247374790353336,0.244316734085197,0.164149863157858,0.11177383711361755,0.011712086466138083,0.1000617506474794,-0.12981770948713267,0.12981770948713253,-0.29312687271447135,0.05329309658427764,-2,-3,-0.010468816882659687,-0.03210267349448,-0.026036357750658046,-0.0030580562681390144,-0.17689959217654538,-0.13226908577731467,-0.04463050639923069,0.0072751198464340305,-0.0072751198464339195,0.09099011657554135,-0.06302420916612256,1,0,0.003249647020555052,0.02521948637080494,0.10181759004967106,-0.08016687092733898
low,g05_thr,2.971346461592439,2.801021682598465,2.920495371118996,1.0,0.7573941482146145,1.0,0.0,0.2426058517853856,0.0,0.463838748014888,0.6324913752243649,0.326207281031953,0.463838748014888,0.479045266391148,0.326207281031953,0.0,0.153446108833217,0.0,0.15610389229612157,0.2258073827681378,0.11169587332951868,0.570061509842212,0.53437294504503,0.67431879846331,0.10611951648544425,0.10003648866423089,0.1043034061113927,0.0526792803559465,0.0,0.0,14,12,12,2,3,2,0.276196998867508,0.254913023999908,0.181923687523036,0.16865262720947694,0.01520651837625997,0.153446108833217,-0.24260585178538552,0.2426058517853856,-0.17032477899397414,0.06970349047201624,1,-2,-0.006083027821213366,-0.0526792803559465,-0.035688564797182076,-0.021283974867599975,-0.3062840941924119,-0.15283798535919496,-0.153446108833217,0.24260585178538552,-0.2426058517853856,0.11947368852053097,-0.11411150943861913,-1,0,0.0042669174471618165,0.0,0.13994585341828003,-0.072989336476872
low,g075,3.1774995757055415,3.048761162690582,3.2650304187327452,0.9138098023192507,0.757097310319898,0.7349482058225698,0.08619019768074918,0.24290268968010204,0.2650517941774302,0.5874761104088835,0.7169607858782181,0.5542090885757758,0.5368414283200241,0.5428090825932392,0.4073149752993281,0.050634682088859295,0.1741517032849789,0.1468941132764477,0.1848862907490518,0.23516462839138516,0.16974086532121213,0.552748012727947,0.522142337680245,0.669542306680917,0.11348212770376934,0.10888432723894936,0.11660822924045519,0.0891047672671971,0.0558845399148213,0.06747186887430015,23,21,22,7,5,5,0.267758140236528,0.25053034016802,0.181542860019941,0.12948467546933462,0.005967654273215106,0.1235170211961196,-0.15671249199935267,0.15671249199935286,-0.12873841301495936,0.05027833764233336,-2,-2,-0.004597800464819973,-0.0332202273523758,-0.030605675047702063,-0.017227800068507992,-0.16275169730244232,-0.13549410729391115,-0.0272575900085312,-0.02214910449732821,0.022149104497328154,0.21626925604216307,-0.06542376307017303,0,1,0.007723902001505828,0.011587328959478851,0.14739996900067198,-0.06898748014807901
