wave,trust_stratum,spec,n_cc,GS,n_edges_total,n_edges_nonzero,mean_abs_edge,median_abs_edge,max_abs_edge,S_SEVERITY,S_aff,S_beh,n_focal_neighbors_nonzero,top_neighbor,top_neighbor_domain,top_abs_weight,P_aff,P_beh,focal_share_of_global,S_SEVERITY_high_minus_low,S_aff_high_minus_low,S_beh_high_minus_low,P_aff_high_minus_low,P_beh_high_minus_low,GS_high_minus_low,focal_share_of_global_high_minus_low,focal_domain_dominance,network_density_proxy
55,high,g05,309,2.9484620309879093,28,25,0.10530221539242533,0.07030604379403066,0.577395396783446,0.7528889558320175,0.3652125924470671,0.3876763633849505,7,AFF_FEAR,affect,0.196327612507214,0.485081617439149,0.514918382560851,0.25534972060662936,0.16541284542313406,-0.17162883587295702,0.3370416812960912,-0.42872818488010167,0.4287281848801018,-0.22903754471763227,0.07046342985757756,behavior-dominant,0.8928571428571429
55,high,g05_spearman,309,2.686748896071663,28,23,0.0959553177168451,0.0596608224657953,0.539986801400581,0.5911662009675385,0.32953636389073526,0.2616298370768032,6,AFF_FEAR,affect,0.189745452292701,0.5574343786085809,0.4425656213914191,0.22003031315352609,0.01967517014340936,-0.18386229699655832,0.20353746713996762,-0.34091508480633503,0.3409150848063349,-0.6466960979439715,0.04858874689096643,affect-dominant,0.8214285714285714
55,high,g05_thr,309,2.191634303708658,28,9,0.07827265370388063,0.0,0.596641701974303,0.5257063917962099,0.214952597150264,0.310753794645946,3,AFF_FEAR,affect,0.214952597150264,0.4088833624712525,0.5911166375287475,0.23986957628223637,0.061867643781321924,-0.248886150864624,0.310753794645946,-0.5911166375287475,0.5911166375287475,-0.7797121578837811,0.08376568398611481,behavior-dominant,0.32142857142857145
55,high,g075,309,2.617218187719387,28,23,0.09347207813283524,0.0603117199580981,0.55152938087604,0.5946220264829896,0.3438769540215703,0.2507450724614193,6,AFF_FEAR,affect,0.188912575969323,0.578311832905853,0.4216881670941472,0.22719619987095388,0.0071459160741060845,-0.19296447429845381,0.20011039037256,-0.3354979694133977,0.33549796941339805,-0.5602813879861546,0.04230990912190208,affect-dominant,0.8214285714285714
55,low,g05,376,3.1774995757055415,28,23,0.11348212770376934,0.0891047672671971,0.552748012727947,0.5874761104088835,0.5368414283200241,0.050634682088859295,7,AFF_FEAR,affect,0.267758140236528,0.9138098023192507,0.08619019768074918,0.1848862907490518,0.16541284542313406,-0.17162883587295702,0.3370416812960912,-0.42872818488010167,0.4287281848801018,-0.22903754471763227,0.07046342985757756,affect-dominant,0.8214285714285714
55,low,g05_spearman,376,3.3334449940156343,28,23,0.11905160692912979,0.08316584628298515,0.557738775494885,0.5714910308241291,0.5133986608872936,0.0580923699368356,6,AFF_FEAR,affect,0.247374790353336,0.898349463414916,0.10165053658508416,0.17144156626255966,0.01967517014340936,-0.18386229699655832,0.20353746713996762,-0.34091508480633503,0.3409150848063349,-0.6466960979439715,0.04858874689096643,affect-dominant,0.8214285714285714
55,low,g05_thr,376,2.971346461592439,28,14,0.10611951648544425,0.0526792803559465,0.570061509842212,0.463838748014888,0.463838748014888,0.0,2,AFF_FEAR,affect,0.276196998867508,1.0,0.0,0.15610389229612157,0.061867643781321924,-0.248886150864624,0.310753794645946,-0.5911166375287475,0.5911166375287475,-0.7797121578837811,0.08376568398611481,affect-dominant,0.5
55,low,g075,376,3.1774995757055415,28,23,0.11348212770376934,0.0891047672671971,0.552748012727947,0.5874761104088835,0.5368414283200241,0.050634682088859295,7,AFF_FEAR,affect,0.267758140236528,0.9138098023192507,0.08619019768074918,0.1848862907490518,0.0071459160741060845,-0.19296447429845381,0.20011039037256,-0.3354979694133977,0.33549796941339805,-0.5602813879861546,0.04230990912190208,affect-dominant,0.8214285714285714
56,high,g05,351,2.655841500053316,28,21,0.09485148214476129,0.06701971480179085,0.531144423692983,0.5026123192603923,0.2067934756979987,0.29581884356239363,5,AFF_FEAR,affect,0.184472929324428,0.41143734002043747,0.5885626599795626,0.18924785957682427,-0.2143484666178258,-0.33601560689524057,0.12166714027741474,-0.34565997029946055,0.34565997029946055,-0.39291966263726597,-0.04591676881456089,behavior-dominant,0.75
56,high,g05_spearman,351,2.8103533251215014,28,22,0.10036976161148219,0.06906838922397521,0.548621569682315,0.5313968683885465,0.2399929889148357,0.29140387947371094,6,AFF_FEAR,affect,0.149666946070499,0.4516266526797778,0.5483733473202225,0.1890854305180906,-0.15186799954920016,-0.285117758438596,0.13324975888939594,-0.31690510124800547,0.31690510124800575,-0.2299647961796616,-0.0356492323287467,behavior-dominant,0.7857142857142857
