wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind,neighbor,neighbor_domain,focal_rank_within_context
55,high,g075,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0188382309255863,0.0188382309255863,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,6
55,high,g075,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
55,low,g05,False,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.267758140236528,0.267758140236528,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,low,g05,False,376,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.186739468978733,0.186739468978733,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,2
55,low,g05,False,376,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0823438191047631,0.0823438191047631,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,3
55,low,g05,False,376,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0173270098917509,0.0173270098917509,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,4
55,low,g05,False,376,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0149954739223753,0.0149954739223753,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,5
55,low,g05,False,376,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0136813275947072,0.0136813275947072,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,6
55,low,g05,False,376,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0046308706800259,0.0046308706800259,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
55,low,g05_spearman,False,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.247374790353336,0.247374790353336,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
