wave,trust_stratum,spec,n_cc,neighbor,neighbor_domain,weight,abs_weight,focal_rank_within_context
56,low,g05,383,USE2_HANDWASH20,behavior,0.0,0.0,7
56,low,g05_spearman,383,AFF_FEAR,affect,0.244,0.244,1
56,low,g05_spearman,383,AFF_WORRY,affect,0.21,0.21,2
56,low,g05_spearman,383,USE2_AVOID,behavior,0.158,0.158,3
56,low,g05_spearman,383,WORRY_HEALTH_SYSTEM,affect,0.071,0.071,4
56,low,g05_spearman,383,USE2_MASK,behavior,0.0,0.0,5
56,low,g05_spearman,383,USE2_SPACE150,behavior,0.0,0.0,6
56,low,g05_spearman,383,USE2_HANDWASH20,behavior,0.0,0.0,7
56,low,g05_thr,383,AFF_WORRY,affect,0.255,0.255,1
56,low,g05_thr,383,AFF_FEAR,affect,0.224,0.224,2
56,low,g05_thr,383,USE2_AVOID,behavior,0.153,0.153,3
56,low,g05_thr,383,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
56,low,g05_thr,383,USE2_MASK,behavior,0.0,0.0,5
56,low,g05_thr,383,USE2_SPACE150,behavior,0.0,0.0,6
56,low,g05_thr,383,USE2_HANDWASH20,behavior,0.0,0.0,7
56,low,g075,383,AFF_WORRY,affect,0.251,0.251,1
56,low,g075,383,AFF_FEAR,affect,0.223,0.223,2
56,low,g075,383,USE2_AVOID,behavior,0.147,0.147,3
56,low,g075,383,WORRY_HEALTH_SYSTEM,affect,0.07,0.07,4
56,low,g075,383,USE2_SPACE150,behavior,0.027,0.027,5
56,low,g075,383,USE2_MASK,behavior,0.0,0.0,6
56,low,g075,383,USE2_HANDWASH20,behavior,0.0,0.0,7
57,high,g05,407,AFF_FEAR,affect,0.229,0.229,1
57,high,g05,407,AFF_WORRY,affect,0.094,0.094,2
57,high,g05,407,USE2_HANDWASH20,behavior,0.041,0.041,3
57,high,g05,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
57,high,g05,407,USE2_MASK,behavior,0.0,0.0,5
57,high,g05,407,USE2_SPACE150,behavior,0.0,0.0,6
57,high,g05,407,USE2_AVOID,behavior,0.0,0.0,7
57,high,g05_spearman,407,AFF_FEAR,affect,0.191,0.191,1
57,high,g05_spearman,407,AFF_WORRY,affect,0.124,0.124,2
57,high,g05_spearman,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,3
57,high,g05_spearman,407,USE2_MASK,behavior,0.0,0.0,4
57,high,g05_spearman,407,USE2_SPACE150,behavior,0.0,0.0,5
57,high,g05_spearman,407,USE2_HANDWASH20,behavior,0.0,0.0,6
57,high,g05_spearman,407,USE2_AVOID,behavior,0.0,0.0,7
57,high,g05_thr,407,AFF_FEAR,affect,0.245,0.245,1
57,high,g05_thr,407,AFF_WORRY,affect,0.0,0.0,2
57,high,g05_thr,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,3
57,high,g05_thr,407,USE2_MASK,behavior,0.0,0.0,4
57,high,g05_thr,407,USE2_SPACE150,behavior,0.0,0.0,5
57,high,g05_thr,407,USE2_HANDWASH20,behavior,0.0,0.0,6
57,high,g05_thr,407,USE2_AVOID,behavior,0.0,0.0,7
57,high,g075,407,AFF_FEAR,affect,0.229,0.229,1
57,high,g075,407,AFF_WORRY,affect,0.094,0.094,2
57,high,g075,407,USE2_HANDWASH20,behavior,0.041,0.041,3
57,high,g075,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
57,high,g075,407,USE2_MASK,behavior,0.0,0.0,5
57,high,g075,407,USE2_SPACE150,behavior,0.0,0.0,6
57,high,g075,407,USE2_AVOID,behavior,0.0,0.0,7
57,low,g05,336,AFF_WORRY,affect,0.182,0.182,1
57,low,g05,336,WORRY_HEALTH_SYSTEM,affect,0.142,0.142,2
57,low,g05,336,USE2_AVOID,behavior,0.095,0.095,3
57,low,g05,336,AFF_FEAR,affect,0.084,0.084,4
57,low,g05,336,USE2_SPACE150,behavior,0.052,0.052,5
57,low,g05,336,USE2_MASK,behavior,0.0,0.0,6
57,low,g05,336,USE2_HANDWASH20,behavior,0.0,0.0,7
57,low,g05_spearman,336,AFF_WORRY,affect,0.164,0.164,1
57,low,g05_spearman,336,WORRY_HEALTH_SYSTEM,affect,0.122,0.122,2
57,low,g05_spearman,336,AFF_FEAR,affect,0.106,0.106,3
57,low,g05_spearman,336,USE2_AVOID,behavior,0.099,0.099,4
57,low,g05_spearman,336,USE2_SPACE150,behavior,0.015,0.015,5
57,low,g05_spearman,336,USE2_MASK,behavior,0.0,0.0,6
57,low,g05_spearman,336,USE2_HANDWASH20,behavior,0.0,0.0,7
