wave,spec,GS_high,GS_low,P_aff_high,P_aff_low,P_beh_high,P_beh_low,S_SEVERITY_high,S_SEVERITY_low,S_aff_high,S_aff_low,S_beh_high,S_beh_low,focal_share_of_global_high,focal_share_of_global_low,max_abs_edge_high,max_abs_edge_low,mean_abs_edge_high,mean_abs_edge_low,median_abs_edge_high,median_abs_edge_low,n_edges_nonzero_high,n_edges_nonzero_low,n_focal_neighbors_nonzero_high,n_focal_neighbors_nonzero_low,top_abs_weight_high,top_abs_weight_low,S_SEVERITY_high_minus_low,S_aff_high_minus_low,S_beh_high_minus_low,P_aff_high_minus_low,P_beh_high_minus_low,GS_high_minus_low,focal_share_of_global_high_minus_low,n_focal_neighbors_nonzero_high_minus_low,n_edges_nonzero_high_minus_low,mean_abs_edge_high_minus_low,median_abs_edge_high_minus_low,max_abs_edge_high_minus_low,top_abs_weight_high_minus_low,top_neighbor_high,top_neighbor_low,top_neighbor_domain_high,top_neighbor_domain_low
55,g05,2.9484620309879093,3.1774995757055415,0.485081617439149,0.9138098023192507,0.514918382560851,0.08619019768074918,0.7528889558320175,0.5874761104088835,0.3652125924470671,0.5368414283200241,0.3876763633849505,0.050634682088859295,0.25534972060662936,0.1848862907490518,0.577395396783446,0.552748012727947,0.10530221539242533,0.11348212770376934,0.07030604379403066,0.0891047672671971,25,23,7,7,0.196327612507214,0.267758140236528,0.16541284542313406,-0.17162883587295702,0.3370416812960912,-0.42872818488010167,0.4287281848801018,-0.22903754471763227,0.07046342985757756,0,2,-0.008179912311344004,-0.01879872347316644,0.024647384055498933,-0.07143052772931399,AFF_FEAR,AFF_FEAR,affect,affect
55,g05_spearman,2.686748896071663,3.3334449940156343,0.5574343786085809,0.898349463414916,0.4425656213914191,0.10165053658508416,0.5911662009675385,0.5714910308241291,0.32953636389073526,0.5133986608872936,0.2616298370768032,0.0580923699368356,0.22003031315352609,0.17144156626255966,0.539986801400581,0.557738775494885,0.0959553177168451,0.11905160692912979,0.0596608224657953,0.08316584628298515,23,23,6,6,0.189745452292701,0.247374790353336,0.01967517014340936,-0.18386229699655832,0.20353746713996762,-0.34091508480633503,0.3409150848063349,-0.6466960979439715,0.04858874689096643,0,0,-0.023096289212284696,-0.02350502381718985,-0.017751974094304068,-0.057629338060635,AFF_FEAR,AFF_FEAR,affect,affect
55,g05_thr,2.191634303708658,2.971346461592439,0.4088833624712525,1.0,0.5911166375287475,0.0,0.5257063917962099,0.463838748014888,0.214952597150264,0.463838748014888,0.310753794645946,0.0,0.23986957628223637,0.15610389229612157,0.596641701974303,0.570061509842212,0.07827265370388063,0.10611951648544425,0.0,0.0526792803559465,9,14,3,2,0.214952597150264,0.276196998867508,0.061867643781321924,-0.248886150864624,0.310753794645946,-0.5911166375287475,0.5911166375287475,-0.7797121578837811,0.08376568398611481,1,-5,-0.02784686278156362,-0.0526792803559465,0.026580192132090952,-0.06124440171724399,AFF_FEAR,AFF_FEAR,affect,affect
55,g075,2.617218187719387,3.1774995757055415,0.578311832905853,0.9138098023192507,0.4216881670941472,0.08619019768074918,0.5946220264829896,0.5874761104088835,0.3438769540215703,0.5368414283200241,0.2507450724614193,0.050634682088859295,0.22719619987095388,0.1848862907490518,0.55152938087604,0.552748012727947,0.09347207813283524,0.11348212770376934,0.0603117199580981,0.0891047672671971,23,23,6,7,0.188912575969323,0.267758140236528,0.0071459160741060845,-0.19296447429845381,0.20011039037256,-0.3354979694133977,0.33549796941339805,-0.5602813879861546,0.04230990912190208,-1,0,-0.020010049570934094,-0.028793047309099,-0.0012186318519070705,-0.07884556426720499,AFF_FEAR,AFF_FEAR,affect,affect
56,g05,2.655841500053316,3.048761162690582,0.41143734002043747,0.757097310319898,0.5885626599795626,0.24290268968010204,0.5026123192603923,0.7169607858782181,0.2067934756979987,0.5428090825932392,0.29581884356239363,0.1741517032849789,0.18924785957682427,0.23516462839138516,0.531144423692983,0.522142337680245,0.09485148214476129,0.10888432723894936,0.06701971480179085,0.0558845399148213,21,21,5,5,0.184472929324428,0.25053034016802,-0.2143484666178258,-0.33601560689524057,0.12166714027741474,-0.34565997029946055,0.34565997029946055,-0.39291966263726597,-0.04591676881456089,0,0,-0.014032845094188076,0.011135174886969551,0.009002086012737998,-0.06605741084359201,AFF_FEAR,AFF_WORRY,affect,affect
56,g05_spearman,2.8103533251215014,3.040318121301163,0.4516266526797778,0.7685317539277833,0.5483733473202225,0.2314682460722167,0.5313968683885465,0.6832648679377467,0.2399929889148357,0.5251107473534317,0.29140387947371094,0.158154120584315,0.1890854305180906,0.2247346628468373,0.548621569682315,0.531702417744227,0.10036976161148219,0.1085827900464701,0.06906838922397521,0.051063172788505154,22,20,6,4,0.149666946070499,0.244316734085197,-0.15186799954920016,-0.285117758438596,0.13324975888939594,-0.31690510124800547,0.31690510124800575,-0.2299647961796616,-0.0356492323287467,2,2,-0.008213028434987918,0.018005216435470053,0.016919151938088017,-0.094649788014698,AFF_FEAR,AFF_FEAR,affect,affect
56,g05_thr,2.154362415652146,2.801021682598465,0.5806165415690945,0.7573941482146145,0.41938345843090563,0.2426058517853856,0.351986479771651,0.6324913752243649,0.204369172564096,0.479045266391148,0.147617307207555,0.153446108833217,0.16338313238958976,0.2258073827681378,0.562066156177224,0.53437294504503,0.07694151484471949,0.10003648866423089,0.0,0.0,9,12,2,3,0.204369172564096,0.254913023999908,-0.28050489545271395,-0.27467609382705194,-0.005828801625661989,-0.17677760664552,0.17677760664552003,-0.6466592669463189,-0.06242425037854804,-1,-3,-0.023094973819511394,0.0,0.02769321113219403,-0.050543851435812,AFF_FEAR,AFF_WORRY,affect,affect
56,g075,2.655841500053316,3.048761162690582,0.41143734002043747,0.757097310319898,0.5885626599795626,0.24290268968010204,0.5026123192603923,0.7169607858782181,0.2067934756979987,0.5428090825932392,0.29581884356239363,0.1741517032849789,0.18924785957682427,0.23516462839138516,0.531144423692983,0.522142337680245,0.09485148214476129,0.10888432723894936,0.06701971480179085,0.0558845399148213,21,21,5,5,0.184472929324428,0.25053034016802,-0.2143484666178258,-0.33601560689524057,0.12166714027741474,-0.34565997029946055,0.34565997029946055,-0.39291966263726597,-0.04591676881456089,0,0,-0.014032845094188076,0.011135174886969551,0.009002086012737998,-0.06605741084359201,AFF_FEAR,AFF_WORRY,affect,affect
57,g05,2.3034422464639666,3.2650304187327452,0.8877535119390769,0.7349482058225698,0.11224648806092308,0.2650517941774302,0.36362852937899964,0.5542090885757758,0.32281250399744876,0.4073149752993281,0.0408160253815509,0.1468941132764477,0.15786309812508165,0.16974086532121213,0.474336665165375,0.669542306680917,0.08226579451657023,0.11660822924045519,0.0517917029993084,0.06747186887430015,17,22,3,5,0.228946825539151,0.181542860019941,-0.19058055919677613,-0.08450247130187932,-0.10607808789489678,0.1528053061165071,-0.1528053061165071,-0.9615881722687787,-0.011877767196130484,-2,-5,-0.03434243472388496,-0.01568016587499175,-0.19520564151554198,0.04740396551921,AFF_FEAR,AFF_WORRY,affect,affect
57,g05_spearman,1.9992224590724434,3.1313082378767043,1.0,0.7758068737742173,0.0,0.22419312622578277,0.3146524110365,0.5063652757612013,0.3146524110365,0.392841661576117,0.0,0.1135236141850843,0.1573873930880537,0.16171045368071474,0.483318566836444,0.633520007793898,0.07140080210973013,0.11183243706702516,0.04369198366709615,0.0762826591593101,16,20,2,5,0.191057018010504,0.164149863157858,-0.19171286472470128,-0.078189250539617,-0.1135236141850843,0.2241931262257827,-0.22419312622578277,-1.1320857788042609,-0.004323060592661049,-3,-4,-0.04043163495729503,-0.03259067549221394,-0.15020144095745408,0.026907154852645998,AFF_FEAR,AFF_WORRY,affect,affect
