"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.184472929324428,0.0223205463735707,0,0,0.0654778352644396,0.10326597434691,0.127075033951044
"AFF_FEAR",0.184472929324428,0,0.531144423692983,0.129215113141818,0,0.0112771293148659,0,0.0470292017152531
"AFF_WORRY",0.0223205463735707,0.531144423692983,0,0.0533989373204396,0,0,0,0.0685615943391421
"WORRY_HEALTH_SYSTEM",0,0.129215113141818,0.0533989373204396,0,0.0741027436432377,0.0367245428871753,0.0766582332275105,0.0938326692675476
"USE2_MASK",0,0,0,0.0741027436432377,0,0.253373428608667,0.179544945105495,0.00801945523360533
"USE2_SPACE150",0.0654778352644396,0.0112771293148659,0,0.0367245428871753,0.253373428608667,0,0.167464336600436,0.261466332588217
"USE2_HANDWASH20",0.10326597434691,0,0,0.0766582332275105,0.179544945105495,0.167464336600436,0,0.161416094106531
"USE2_AVOID",0.127075033951044,0.0470292017152531,0.0685615943391421,0.0938326692675476,0.00801945523360533,0.261466332588217,0.161416094106531,0
