"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.244663534192224,0,0,0,0,0,0
"AFF_FEAR",0.244663534192224,0,0.503035074330785,0,0,0,0,0.117437609661666
"AFF_WORRY",0,0.503035074330785,0,0.280476483798584,0,0,0,0
"WORRY_HEALTH_SYSTEM",0,0,0.280476483798584,0,0,0,0,0
"USE2_MASK",0,0,0,0,0,0,0.217471559127613,0
"USE2_SPACE150",0,0,0,0,0,0,0,0.29262961564814
"USE2_HANDWASH20",0,0,0,0,0.217471559127613,0,0,0
"USE2_AVOID",0,0.117437609661666,0,0,0,0.29262961564814,0,0
