wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role
55,low,376,g05_spearman,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.185921192606969,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.185921192606969,behavior,affect,non_focal,non_focal
55,low,376,g05_spearman,USE2_HANDWASH20,USE2_MASK,0.165354968312422,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,USE2_HANDWASH20,USE2_MASK,net_g05_spearman_w55_low__USE2_HANDWASH20__USE2_MASK,0.165354968312422,behavior,behavior,non_focal,non_focal
55,low,376,g05_spearman,USE2_MASK,WORRY_HEALTH_SYSTEM,0.155710771803926,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,USE2_MASK,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_low__USE2_MASK__WORRY_HEALTH_SYSTEM,0.155710771803926,behavior,affect,non_focal,non_focal
56,high,351,g05_spearman,AFF_FEAR,AFF_WORRY,0.548621569682315,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,AFF_FEAR,AFF_WORRY,net_g05_spearman_w56_high__AFF_FEAR__AFF_WORRY,0.548621569682315,affect,affect,non_focal,non_focal
56,high,351,g05_spearman,USE2_MASK,USE2_SPACE150,0.276897272366556,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,USE2_MASK,USE2_SPACE150,net_g05_spearman_w56_high__USE2_MASK__USE2_SPACE150,0.276897272366556,behavior,behavior,non_focal,non_focal
56,high,351,g05_spearman,USE2_AVOID,USE2_SPACE150,0.229726073710838,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,USE2_AVOID,USE2_SPACE150,net_g05_spearman_w56_high__USE2_AVOID__USE2_SPACE150,0.229726073710838,behavior,behavior,non_focal,non_focal
56,high,351,g05_spearman,USE2_HANDWASH20,USE2_SPACE150,0.212998926185138,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,USE2_HANDWASH20,USE2_SPACE150,net_g05_spearman_w56_high__USE2_HANDWASH20__USE2_SPACE150,0.212998926185138,behavior,behavior,non_focal,non_focal
56,high,351,g05_spearman,USE2_AVOID,USE2_HANDWASH20,0.190858677164089,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,USE2_AVOID,USE2_HANDWASH20,net_g05_spearman_w56_high__USE2_AVOID__USE2_HANDWASH20,0.190858677164089,behavior,behavior,non_focal,non_focal
56,high,351,g05_spearman,USE2_HANDWASH20,USE2_MASK,0.159658118466182,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,USE2_HANDWASH20,USE2_MASK,net_g05_spearman_w56_high__USE2_HANDWASH20__USE2_MASK,0.159658118466182,behavior,behavior,non_focal,non_focal
56,high,351,g05_spearman,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.152169510385907,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,AFF_WORRY,WORRY_HEALTH_SYSTEM,net_g05_spearman_w56_high__AFF_WORRY__WORRY_HEALTH_SYSTEM,0.152169510385907,affect,affect,non_focal,non_focal
