"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.204369172564096,0,0,0,0,0.147617307207555,0
"AFF_FEAR",0.204369172564096,0,0.562066156177224,0.146601677207386,0,0,0,0
"AFF_WORRY",0,0.562066156177224,0,0,0,0,0,0
"WORRY_HEALTH_SYSTEM",0,0.146601677207386,0,0,0,0,0,0
"USE2_MASK",0,0,0,0,0,0.279718456516268,0.206358609072715,0
"USE2_SPACE150",0,0,0,0,0.279718456516268,0,0.169059498914331,0.268338494900249
"USE2_HANDWASH20",0.147617307207555,0,0,0,0.206358609072715,0.169059498914331,0,0.170233043092322
"USE2_AVOID",0,0,0,0,0,0.268338494900249,0.170233043092322,0
