spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.03478317898092945,0.03627128272246413,0.040338449288654876,0,0.13084509072717884,0.667,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_WORRY__USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,0.031621418701632376,0.02911942057054114,0.0357661131696106,0,0.11868877728169919,0.586,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.029512325264421418,0.033294331268692655,0.04143541941246366,0,0.12888180281645883,0.601,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0.024668800002465897,0.03558436202225742,0.04130225233522965,0,0.13247206014620241,0.626,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_FEAR__USE2_MASK,AFF_FEAR,USE2_MASK,AFF_FEAR,USE2_MASK,0.019015542587032665,0.030214691961986784,0.038906494659050446,0,0.12954002587398425,0.523,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_FEAR__USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,0.012653035510239323,0.020146752042157594,0.02921681823367172,0,0.09447528805938,0.495,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_FEAR__USE2_SPACE150,AFF_FEAR,USE2_SPACE150,AFF_FEAR,USE2_SPACE150,0,-0.011245340999782123,0.03160555352458013,-0.10851669031331322,0.0051382334842249786,0.196,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_WORRY__USE2_MASK,AFF_WORRY,USE2_MASK,AFF_WORRY,USE2_MASK,0,-0.0048606532082896324,0.021663677978028657,-0.07925149548333618,0.016012508981201854,0.132,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_WORRY__USE2_SPACE150,AFF_WORRY,USE2_SPACE150,AFF_WORRY,USE2_SPACE150,0,0.0036045182905767126,0.01914779100959484,-0.02795796437715494,0.0625397843917543,0.189,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__AFF_WORRY,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.5527480127279474,0.548203066747293,0.04369285522706591,0.46359155745611036,0.6312730138907409,1,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_MASK__USE2_SPACE150,USE2_MASK,USE2_SPACE150,USE2_MASK,USE2_SPACE150,0.327032216961362,0.32389285441749355,0.05037099444732312,0.22394805746008273,0.4233346628342871,1,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_AVOID__USE2_SPACE150,USE2_AVOID,USE2_SPACE150,USE2_AVOID,USE2_SPACE150,0.277096243350879,0.2727475502705894,0.04931236725529776,0.1738250976472927,0.3666850425945424,1,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__SEVERITY,AFF_FEAR,SEVERITY,AFF_FEAR,SEVERITY,0.267758140236528,0.26437856410594607,0.05080903367202219,0.16162854403575241,0.3644954552322113,1,1000
