"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.22413224239124,0.254913023999908,0,0,0,0,0.153446108833217
"AFF_FEAR",0.22413224239124,0,0.53437294504503,0.108397900917569,0,0,0,0
"AFF_WORRY",0.254913023999908,0.53437294504503,0,0.16819112169682,0.130287961726576,0,0,0
"WORRY_HEALTH_SYSTEM",0,0.108397900917569,0.16819112169682,0,0,0,0,0
"USE2_MASK",0,0,0.130287961726576,0,0,0.356237925434722,0.149734040450115,0
"USE2_SPACE150",0,0,0,0,0.356237925434722,0,0.248472824481591,0.268292705321276
"USE2_HANDWASH20",0,0,0,0,0.149734040450115,0.248472824481591,0,0.204542882300401
"USE2_AVOID",0.153446108833217,0,0,0,0,0.268292705321276,0.204542882300401,0
