"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.483318566836444
"USE2_AVOID","USE2_SPACE150",0.204777603236577
"AFF_FEAR","SEVERITY",0.191057018010504
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.178726598312927
"USE2_HANDWASH20","USE2_MASK",0.141314946906337
"AFF_WORRY","SEVERITY",0.123595393025996
"USE2_HANDWASH20","USE2_SPACE150",0.099034994506402
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.0947815516871707
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.0877498803742573
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.080560925043685
"USE2_AVOID","USE2_MASK",0.0783436942292012
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.0722884762254606
"AFF_FEAR","USE2_AVOID",0.0663127173624585
"USE2_AVOID","USE2_HANDWASH20",0.0647529146273732
"AFF_WORRY","USE2_SPACE150",0.0226310527068191
"USE2_MASK","USE2_SPACE150",0.00997612598083093
"SEVERITY","WORRY_HEALTH_SYSTEM",0
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"SEVERITY","USE2_SPACE150",0
"AFF_FEAR","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"SEVERITY","USE2_AVOID",0
"AFF_WORRY","USE2_AVOID",0
