"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.244316734085197,0.209644704385641,0.0711493088825936,0,0,0,0.158154120584315
"AFF_FEAR",0.244316734085197,0,0.531702417744227,0.101737156392353,0,0.0148866465976628,0,0.015818496997153
"AFF_WORRY",0.209644704385641,0.531702417744227,0,0.171926696692816,0.120958932741573,0.0229914138579841,0,0
"WORRY_HEALTH_SYSTEM",0.0711493088825936,0.101737156392353,0.171926696692816,0,0.0279832057582668,0.0237807288011251,0,0.0309770366944167
"USE2_MASK",0,0,0.120958932741573,0.0279832057582668,0,0.312858578961457,0.141493307939287,0.138167519360311
"USE2_SPACE150",0,0.0148866465976628,0.0229914138579841,0.0237807288011251,0.312858578961457,0,0.267336726942148,0.284512997577216
"USE2_HANDWASH20",0,0,0,0,0.141493307939287,0.267336726942148,0,0.14992139030542
"USE2_AVOID",0.158154120584315,0.015818496997153,0,0.0309770366944167,0.138167519360311,0.284512997577216,0.14992139030542,0
