"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.214952597150264,0,0,0,0.168294033740989,0,0.142459760904957
"AFF_FEAR",0.214952597150264,0,0.596641701974303,0.179415582009043,0,0,0,0
"AFF_WORRY",0,0.596641701974303,0,0,0,0,0,0
"WORRY_HEALTH_SYSTEM",0,0.179415582009043,0,0,0,0,0,0
"USE2_MASK",0,0,0,0,0,0.23540831796455,0.195753056637722,0
"USE2_SPACE150",0.168294033740989,0,0,0,0.23540831796455,0,0.208992309764026,0.249716943562804
"USE2_HANDWASH20",0,0,0,0,0.195753056637722,0.208992309764026,0,0
"USE2_AVOID",0.142459760904957,0,0,0,0,0.249716943562804,0,0
