"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.191057018010504,0.123595393025996,0,0,0,0,0
"AFF_FEAR",0.191057018010504,0,0.483318566836444,0.080560925043685,0,0,0,0.0663127173624585
"AFF_WORRY",0.123595393025996,0.483318566836444,0,0.178726598312927,0,0.0226310527068191,0,0
"WORRY_HEALTH_SYSTEM",0,0.080560925043685,0.178726598312927,0,0.0947815516871707,0,0.0722884762254606,0.0877498803742573
"USE2_MASK",0,0,0,0.0947815516871707,0,0.00997612598083093,0.141314946906337,0.0783436942292012
"USE2_SPACE150",0,0,0.0226310527068191,0,0.00997612598083093,0,0.099034994506402,0.204777603236577
"USE2_HANDWASH20",0,0,0,0.0722884762254606,0.141314946906337,0.099034994506402,0,0.0647529146273732
"USE2_AVOID",0,0.0663127173624585,0,0.0877498803742573,0.0783436942292012,0.204777603236577,0.0647529146273732,0
