wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
55,high,309,g05,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.0694854700414606,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,AFF_WORRY,WORRY_HEALTH_SYSTEM,net_g05_w55_high__AFF_WORRY__WORRY_HEALTH_SYSTEM,0.0694854700414606,affect,affect,non_focal,non_focal,0.06948547004146065,0.06930888501420843,0.05435661842493666,0,0.1896157042801939,0.833,1000
55,high,309,g05,AFF_WORRY,SEVERITY,0.0663729854547521,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,AFF_WORRY,SEVERITY,net_g05_w55_high__AFF_WORRY__SEVERITY,0.0663729854547521,affect,belief,non_focal,focal_belief,0.06637298545475205,0.06675668554193773,0.048471230056561614,0,0.16854165424180123,0.871,1000
55,high,309,g05,USE2_AVOID,USE2_MASK,0.0517400953753027,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,USE2_AVOID,USE2_MASK,net_g05_w55_high__USE2_AVOID__USE2_MASK,0.0517400953753027,behavior,behavior,non_focal,non_focal,0.05174009537530275,0.05026294008753497,0.04434698554091125,0,0.1534064095412141,0.743,1000
55,high,309,g05,SEVERITY,USE2_HANDWASH20,0.0388961673061934,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,SEVERITY,USE2_HANDWASH20,net_g05_w55_high__SEVERITY__USE2_HANDWASH20,0.0388961673061934,belief,behavior,focal_belief,non_focal,0.03889616730619339,0.036232413447130095,0.038014226437470565,0,0.12407380771912746,0.663,1000
55,high,309,g05,AFF_WORRY,USE2_AVOID,0.0348509279979277,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,AFF_WORRY,USE2_AVOID,net_g05_w55_high__AFF_WORRY__USE2_AVOID,0.0348509279979277,affect,behavior,non_focal,non_focal,0.034850927997927675,0.04017233777580676,0.0415543102155052,0,0.13247787243809475,0.698,1000
55,high,309,g05,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.0347831789809294,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.0347831789809294,behavior,affect,non_focal,non_focal,0.03478317898092945,0.03627128272246413,0.040338449288654876,0,0.13084509072717884,0.667,1000
55,high,309,g05,AFF_WORRY,USE2_HANDWASH20,0.0316214187016324,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,AFF_WORRY,USE2_HANDWASH20,net_g05_w55_high__AFF_WORRY__USE2_HANDWASH20,0.0316214187016324,affect,behavior,non_focal,non_focal,0.031621418701632376,0.02911942057054114,0.0357661131696106,0,0.11868877728169919,0.586,1000
55,high,309,g05,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.0295123252644214,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.0295123252644214,behavior,affect,non_focal,non_focal,0.029512325264421418,0.033294331268692655,0.04143541941246366,0,0.12888180281645883,0.601,1000
55,high,309,g05,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0.0246688000024659,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,USE2_SPACE150,WORRY_HEALTH_SYSTEM,net_g05_w55_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,0.0246688000024659,behavior,affect,non_focal,non_focal,0.024668800002465897,0.03558436202225742,0.04130225233522965,0,0.13247206014620241,0.626,1000
55,high,309,g05,AFF_FEAR,USE2_MASK,0.0190155425870327,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,AFF_FEAR,USE2_MASK,net_g05_w55_high__AFF_FEAR__USE2_MASK,0.0190155425870327,affect,behavior,non_focal,non_focal,0.019015542587032665,0.030214691961986784,0.038906494659050446,0,0.12954002587398425,0.523,1000
55,high,309,g05,AFF_FEAR,USE2_HANDWASH20,0.0126530355102393,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,AFF_FEAR,USE2_HANDWASH20,net_g05_w55_high__AFF_FEAR__USE2_HANDWASH20,0.0126530355102393,affect,behavior,non_focal,non_focal,0.012653035510239323,0.020146752042157594,0.02921681823367172,0,0.09447528805938,0.495,1000
55,low,376,g05,AFF_FEAR,AFF_WORRY,0.552748012727947,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_FEAR,AFF_WORRY,net_g05_w55_low__AFF_FEAR__AFF_WORRY,0.552748012727947,affect,affect,non_focal,non_focal,0.5527480127279474,0.548203066747293,0.04369285522706591,0.46359155745611036,0.6312730138907409,1,1000
55,low,376,g05,USE2_MASK,USE2_SPACE150,0.327032216961362,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_MASK,USE2_SPACE150,net_g05_w55_low__USE2_MASK__USE2_SPACE150,0.327032216961362,behavior,behavior,non_focal,non_focal,0.327032216961362,0.32389285441749355,0.05037099444732312,0.22394805746008273,0.4233346628342871,1,1000
55,low,376,g05,USE2_AVOID,USE2_SPACE150,0.277096243350879,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_AVOID,USE2_SPACE150,net_g05_w55_low__USE2_AVOID__USE2_SPACE150,0.277096243350879,behavior,behavior,non_focal,non_focal,0.277096243350879,0.2727475502705894,0.04931236725529776,0.1738250976472927,0.3666850425945424,1,1000
55,low,376,g05,AFF_FEAR,SEVERITY,0.267758140236528,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_FEAR,SEVERITY,net_g05_w55_low__AFF_FEAR__SEVERITY,0.267758140236528,affect,belief,non_focal,focal_belief,0.267758140236528,0.26437856410594607,0.05080903367202219,0.16162854403575241,0.3644954552322113,1,1000
55,low,376,g05,USE2_HANDWASH20,USE2_SPACE150,0.230419916269903,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_HANDWASH20,USE2_SPACE150,net_g05_w55_low__USE2_HANDWASH20__USE2_SPACE150,0.230419916269903,behavior,behavior,non_focal,non_focal,0.230419916269903,0.22944520058843632,0.054507568196882614,0.12291169798861748,0.3354015735040455,1,1000
55,low,376,g05,SEVERITY,WORRY_HEALTH_SYSTEM,0.186739468978733,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,WORRY_HEALTH_SYSTEM,net_g05_w55_low__SEVERITY__WORRY_HEALTH_SYSTEM,0.186739468978733,belief,affect,focal_belief,non_focal,0.18673946897873334,0.1774991519703076,0.052508645961166805,0.07507402199569382,0.2783941274926159,0.999,1000
55,low,376,g05,USE2_AVOID,USE2_MASK,0.158321021438952,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_AVOID,USE2_MASK,net_g05_w55_low__USE2_AVOID__USE2_MASK,0.158321021438952,behavior,behavior,non_focal,non_focal,0.15832102143895202,0.15464609624473277,0.04211583931334185,0.07331794746881153,0.23742890720762255,1,1000
55,low,376,g05,USE2_HANDWASH20,USE2_MASK,0.147115905845485,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_HANDWASH20,USE2_MASK,net_g05_w55_low__USE2_HANDWASH20__USE2_MASK,0.147115905845485,behavior,behavior,non_focal,non_focal,0.147115905845485,0.14784122606676378,0.050896212185025595,0.048764810888059326,0.2394260497961685,0.997,1000
55,low,376,g05,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.142127997118949,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_w55_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.142127997118949,behavior,affect,non_focal,non_focal,0.14212799711894894,0.14084904604910073,0.04411535412179672,0.05275659821561398,0.22269032567065383,0.998,1000
55,low,376,g05,USE2_MASK,WORRY_HEALTH_SYSTEM,0.138703681778115,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_MASK,WORRY_HEALTH_SYSTEM,net_g05_w55_low__USE2_MASK__WORRY_HEALTH_SYSTEM,0.138703681778115,behavior,affect,non_focal,non_focal,0.13870368177811543,0.1292001344234071,0.04649447002062145,0.04330326644418159,0.22273157636344196,0.999,1000
55,low,376,g05,USE2_AVOID,USE2_HANDWASH20,0.121938536268603,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_AVOID,USE2_HANDWASH20,net_g05_w55_low__USE2_AVOID__USE2_HANDWASH20,0.121938536268603,behavior,behavior,non_focal,non_focal,0.12193853626860328,0.12295533024071077,0.04392866160712795,0.037477655291304486,0.2056877207352902,0.997,1000
55,low,376,g05,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.111052337322037,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_WORRY,WORRY_HEALTH_SYSTEM,net_g05_w55_low__AFF_WORRY__WORRY_HEALTH_SYSTEM,0.111052337322037,affect,affect,non_focal,non_focal,0.1110523373220375,0.10505438761438053,0.053525109215418976,0,0.21302940567203996,0.974,1000
