"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.669542306680917
"USE2_AVOID","USE2_SPACE150",0.335093813640658
"USE2_MASK","USE2_SPACE150",0.295025731828639
"USE2_HANDWASH20","USE2_SPACE150",0.282580287301505
"USE2_HANDWASH20","USE2_MASK",0.229682256068817
"AFF_WORRY","SEVERITY",0.181542860019941
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.181161185521748
"USE2_AVOID","USE2_HANDWASH20",0.1788898749772
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.170560378136817
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.149327883262226
"SEVERITY","WORRY_HEALTH_SYSTEM",0.142145431091419
"SEVERITY","USE2_AVOID",0.0950565129638646
"AFF_FEAR","SEVERITY",0.0836266841879681
"AFF_WORRY","USE2_MASK",0.0831061374360172
"SEVERITY","USE2_SPACE150",0.0518376003125831
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.0365687987969368
"USE2_AVOID","USE2_MASK",0.0274735950892567
"AFF_FEAR","USE2_AVOID",0.0176108244129714
"AFF_FEAR","USE2_MASK",-0.0173779072867365
"AFF_WORRY","USE2_HANDWASH20",0.0162213900096129
"AFF_WORRY","USE2_AVOID",0.0110123122934447
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.0095866474134661
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
