"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.267758140236528,0.0823438191047631,0.186739468978733,0.0173270098917509,0.0136813275947072,0.00463087068002591,0.0149954739223753
"AFF_FEAR",0.267758140236528,0,0.552748012727947,0.0958657154296311,0,0,0,0.10736777239394
"AFF_WORRY",0.0823438191047631,0.552748012727947,0,0.111052337322037,0.0155628239941265,0.0705413622572092,0,0.0624861121290443
"WORRY_HEALTH_SYSTEM",0.186739468978733,0.0958657154296311,0.111052337322037,0,0.138703681778115,0,0.142127997118949,0.031643810010475
"USE2_MASK",0.0173270098917509,0,0.0155628239941265,0.138703681778115,0,0.327032216961362,0.147115905845485,0.158321021438952
"USE2_SPACE150",0.0136813275947072,0,0.0705413622572092,0,0.327032216961362,0,0.230419916269903,0.277096243350879
"USE2_HANDWASH20",0.00463087068002591,0,0,0.142127997118949,0.147115905845485,0.230419916269903,0,0.121938536268603
"USE2_AVOID",0.0149954739223753,0.10736777239394,0.0624861121290443,0.031643810010475,0.158321021438952,0.277096243350879,0.121938536268603,0
