"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.633520007793898
"USE2_AVOID","USE2_SPACE150",0.342091767795004
"USE2_HANDWASH20","USE2_SPACE150",0.28830459425354
"USE2_HANDWASH20","USE2_MASK",0.250971150338695
"USE2_MASK","USE2_SPACE150",0.21237299111567
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.184577345679937
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.178818437083903
"AFF_WORRY","SEVERITY",0.164149863157858
"USE2_AVOID","USE2_HANDWASH20",0.159640835248361
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.144121754469043
"SEVERITY","WORRY_HEALTH_SYSTEM",0.122384015427852
"AFF_FEAR","SEVERITY",0.106307782990407
"SEVERITY","USE2_AVOID",0.0985463956030512
"AFF_WORRY","USE2_MASK",0.095863208323623
"USE2_AVOID","USE2_MASK",0.0567021099949972
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.0385697100458019
"AFF_WORRY","USE2_SPACE150",0.0219388298811778
"SEVERITY","USE2_SPACE150",0.0149772185820331
"AFF_WORRY","USE2_AVOID",0.0144675572700702
"AFF_FEAR","USE2_AVOID",0.00298266282178209
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
