"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.188912575969323,0.0667569020065814,0.0882074760456659,0,0.103125870818401,0.0188382309255863,0.128780970717432
"AFF_FEAR",0.188912575969323,0,0.55152938087604,0.172553538921899,0,0,0.0162001660027963,0.0711979993106094
"AFF_WORRY",0.0667569020065814,0.55152938087604,0,0.0673564909416888,0,0,0.0245705359669269,0.0318623483120553
"WORRY_HEALTH_SYSTEM",0.0882074760456659,0.172553538921899,0.0673564909416888,0,0.0538665379096148,0.0237027217455138,0.0245518243575374,0.0309960985137277
"USE2_MASK",0,0,0,0.0538665379096148,0,0.190268030957765,0.165560132496843,0.0330856882957062
"USE2_SPACE150",0.103125870818401,0,0,0.0237027217455138,0.190268030957765,0,0.196181996725913,0.230360836463161
"USE2_HANDWASH20",0.0188382309255863,0.0162001660027963,0.0245705359669269,0.0245518243575374,0.165560132496843,0.196181996725913,0,0.1387518334386
"USE2_AVOID",0.128780970717432,0.0711979993106094,0.0318623483120553,0.0309960985137277,0.0330856882957062,0.230360836463161,0.1387518334386,0
