"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.0836266841879681,0.181542860019941,0.142145431091419,0,0.0518376003125831,0,0.0950565129638646
"AFF_FEAR",0.0836266841879681,0,0.669542306680917,0.0365687987969368,-0.0173779072867365,0,0,0.0176108244129714
"AFF_WORRY",0.181542860019941,0.669542306680917,0,0.181161185521748,0.0831061374360172,0,0.0162213900096129,0.0110123122934447
"WORRY_HEALTH_SYSTEM",0.142145431091419,0.0365687987969368,0.181161185521748,0,0.170560378136817,0,0.0095866474134661,0.149327883262226
"USE2_MASK",0,-0.0173779072867365,0.0831061374360172,0.170560378136817,0,0.295025731828639,0.229682256068817,0.0274735950892567
"USE2_SPACE150",0.0518376003125831,0,0,0,0.295025731828639,0,0.282580287301505,0.335093813640658
"USE2_HANDWASH20",0,0,0.0162213900096129,0.0095866474134661,0.229682256068817,0.282580287301505,0,0.1788898749772
"USE2_AVOID",0.0950565129638646,0.0176108244129714,0.0110123122934447,0.149327883262226,0.0274735950892567,0.335093813640658,0.1788898749772,0
