"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.247374790353336,0.0763740879517376,0.18964978258222,0,0.0147679451240536,0.0313524413513409,0.0119719834614411
"AFF_FEAR",0.247374790353336,0,0.557738775494885,0.129627914042442,0,0,-0.0587979702765218,0.130623556212654
"AFF_WORRY",0.0763740879517376,0.557738775494885,0,0.0899576046142327,0.0213139808005594,0.0713666628548888,0,0.0591581764774365
"WORRY_HEALTH_SYSTEM",0.18964978258222,0.129627914042442,0.0899576046142327,0,0.155710771803926,0,0.185921192606969,0.00933194845309085
"USE2_MASK",0,0,0.0213139808005594,0.155710771803926,0,0.271346125819454,0.165354968312422,0.20803422443861
"USE2_SPACE150",0.0147679451240536,0,0.0713666628548888,0,0.271346125819454,0,0.245415186264981,0.275788548983608
"USE2_HANDWASH20",0.0313524413513409,-0.0587979702765218,0,0.185921192606969,0.165354968312422,0.245415186264981,0,0.126466355734824
"USE2_AVOID",0.0119719834614411,0.130623556212654,0.0591581764774365,0.00933194845309085,0.20803422443861,0.275788548983608,0.126466355734824,0
