"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.189745452292701,0.084231737860777,0.0555591737372573,0,0.118697357515695,0.0374502017319742,0.105482277829134
"AFF_FEAR",0.189745452292701,0,0.539986801400581,0.129884552643435,0.0292260816499025,0,0,0.0535904028268263
"AFF_WORRY",0.084231737860777,0.539986801400581,0,0.129080056316981,0,0,0.040280339294695,0.0637624711943333
"WORRY_HEALTH_SYSTEM",0.0555591737372573,0.129884552643435,0.129080056316981,0,0.0274058972324329,0.0669984904545466,0.0276556639643481,0.0351019968703639
"USE2_MASK",0,0.0292260816499025,0,0.0274058972324329,0,0.132817972731233,0.183228830996347,0.0542556819514068
"USE2_SPACE150",0.118697357515695,0,0,0.0669984904545466,0.132817972731233,0,0.205124520711381,0.259384085037041
"USE2_HANDWASH20",0.0374502017319742,0,0.040280339294695,0.0276556639643481,0.183228830996347,0.205124520711381,0,0.11779884982827
"USE2_AVOID",0.105482277829134,0.0535904028268263,0.0637624711943333,0.0351019968703639,0.0542556819514068,0.259384085037041,0.11779884982827,0
