"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.228946825539151,0.0938656784582978,0,0,0,0.0408160253815509,0
"AFF_FEAR",0.228946825539151,0,0.474336665165375,0.0349678867104171,0,0,0,0.0797709435878751
"AFF_WORRY",0.0938656784582978,0.474336665165375,0,0.26013725281793,0,0.0424758401645531,0,0
"WORRY_HEALTH_SYSTEM",0,0.0349678867104171,0.26013725281793,0,0.113750868783799,0,0.0822927967992277,0.0776069830385028
"USE2_MASK",0,0,0,0.113750868783799,0,0.0645822088898716,0.196036924743611,0.0611075658340637
"USE2_SPACE150",0,0,0.0424758401645531,0,0.0645822088898716,0,0.117235349024939,0.259472346662032
"USE2_HANDWASH20",0.0408160253815509,0,0,0.0822927967992277,0.196036924743611,0.117235349024939,0,0.0760400848627696
"USE2_AVOID",0,0.0797709435878751,0,0.0776069830385028,0.0611075658340637,0.259472346662032,0.0760400848627696,0
