"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.106307782990407,0.164149863157858,0.122384015427852,0,0.0149772185820331,0,0.0985463956030512
"AFF_FEAR",0.106307782990407,0,0.633520007793898,0.0385697100458019,0,0,0,0.00298266282178209
"AFF_WORRY",0.164149863157858,0.633520007793898,0,0.184577345679937,0.095863208323623,0.0219388298811778,0,0.0144675572700702
"WORRY_HEALTH_SYSTEM",0.122384015427852,0.0385697100458019,0.184577345679937,0,0.178818437083903,0,0,0.144121754469043
"USE2_MASK",0,0,0.095863208323623,0.178818437083903,0,0.21237299111567,0.250971150338695,0.0567021099949972
"USE2_SPACE150",0.0149772185820331,0,0.0219388298811778,0,0.21237299111567,0,0.28830459425354,0.342091767795004
"USE2_HANDWASH20",0,0,0,0,0.250971150338695,0.28830459425354,0,0.159640835248361
"USE2_AVOID",0.0985463956030512,0.00298266282178209,0.0144675572700702,0.144121754469043,0.0567021099949972,0.342091767795004,0.159640835248361,0
