"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.474336665165375
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.26013725281793
"USE2_AVOID","USE2_SPACE150",0.259472346662032
"AFF_FEAR","SEVERITY",0.228946825539151
"USE2_HANDWASH20","USE2_MASK",0.196036924743611
"USE2_HANDWASH20","USE2_SPACE150",0.117235349024939
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.113750868783799
"AFF_WORRY","SEVERITY",0.0938656784582978
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.0822927967992277
"AFF_FEAR","USE2_AVOID",0.0797709435878751
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.0776069830385028
"USE2_AVOID","USE2_HANDWASH20",0.0760400848627696
"USE2_MASK","USE2_SPACE150",0.0645822088898716
"USE2_AVOID","USE2_MASK",0.0611075658340637
"AFF_WORRY","USE2_SPACE150",0.0424758401645531
"SEVERITY","USE2_HANDWASH20",0.0408160253815509
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.0349678867104171
"SEVERITY","WORRY_HEALTH_SYSTEM",0
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"SEVERITY","USE2_SPACE150",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"SEVERITY","USE2_AVOID",0
"AFF_WORRY","USE2_AVOID",0
