"","SEVERITY","AFF_FEAR","AFF_WORRY","WORRY_HEALTH_SYSTEM","USE2_MASK","USE2_SPACE150","USE2_HANDWASH20","USE2_AVOID"
"SEVERITY",0,0.222716478047016,0.25053034016802,0.0695622643782032,0,0.0274840359837989,0,0.14666766730118
"AFF_FEAR",0.222716478047016,0,0.522142337680245,0.107834671759965,0.00418535556217125,0,0,0.0264913354127847
"AFF_WORRY",0.25053034016802,0.522142337680245,0,0.166529824308818,0.122296617057614,0.0422068154514394,0,0
"WORRY_HEALTH_SYSTEM",0.0695622643782032,0.107834671759965,0.166529824308818,0,0.0224520941179743,0.0279237841159607,0,0.00624280781711222
"USE2_MASK",0,0.00418535556217125,0.122296617057614,0.0224520941179743,0,0.350027751562316,0.140327090154336,0.0921444858064795
"USE2_SPACE150",0.0274840359837989,0,0.0422068154514394,0.0279237841159607,0.350027751562316,0,0.240246805655903,0.267477724213927
"USE2_HANDWASH20",0,0,0,0,0.140327090154336,0.240246805655903,0,0.193270876135318
"USE2_AVOID",0.14666766730118,0.0264913354127847,0,0.00624280781711222,0.0921444858064795,0.267477724213927,0.193270876135318,0
